 ,Label,Area1,Mean1,Min1,Max1,BX1,BY1,Width1,Height1,IntDen1,RawIntDen1,Area2,Mean2,Min2,Max2,BX2,BY2,Width2,Height2,IntDen2,RawIntDen2,Area3,Mean3,Min3,Max3,BX3,BY3,Width3,Height3,IntDen3,RawIntDen3
1,dataImg,71.228,169.836,82,412,15.448,16.138,6.621,10.759,12097.081,2543465,35.956,114.091,53,179,39.586,48.689,6.207,5.793,4102.315,862530,1150.601,137.473,44,417,5.931,6.345,33.862,84.137,158176.516,33257316
2,dataImg,71.228,170.372,77,410,15.448,16.138,6.621,10.759,12135.244,2551489,35.956,114.152,52,174,39.586,48.689,6.207,5.793,4104.513,862992,1150.601,137.899,45,445,5.931,6.345,33.862,84.137,158666.250,33360284
3,dataImg,71.228,170.677,72,406,15.448,16.138,6.621,10.759,12156.999,2556063,35.956,114.238,58,177,39.586,48.689,6.207,5.793,4107.585,863638,1150.601,137.824,51,442,5.931,6.345,33.862,84.137,158580.969,33342354
4,dataImg,71.228,170.980,87,432,15.448,16.138,6.621,10.759,12178.544,2560593,35.956,114.760,54,175,39.586,48.689,6.207,5.793,4126.372,867588,1150.601,137.975,32,449,5.931,6.345,33.862,84.137,158754.000,33378734
5,dataImg,71.228,169.034,78,424,15.448,16.138,6.621,10.759,12039.950,2531453,35.956,113.792,51,174,39.586,48.689,6.207,5.793,4091.566,860270,1150.601,137.892,43,453,5.931,6.345,33.862,84.137,158658.656,33358686
6,dataImg,71.228,170.073,85,386,15.448,16.138,6.621,10.759,12113.941,2547010,35.956,114.589,53,180,39.586,48.689,6.207,5.793,4120.227,866296,1150.601,138.203,47,466,5.931,6.345,33.862,84.137,159016.859,33434000
7,dataImg,71.228,121.148,56,197,15.448,16.138,6.621,10.759,8629.135,1814314,35.956,114.659,61,175,39.586,48.689,6.207,5.793,4122.729,866822,1150.601,134.756,51,473,5.931,6.345,33.862,84.137,155049.891,32599928
8,dataImg,71.228,123.800,56,193,15.448,16.138,6.621,10.759,8818.054,1854035,35.956,115.204,44,183,39.586,48.689,6.207,5.793,4142.333,870944,1150.601,134.527,46,435,5.931,6.345,33.862,84.137,154786.594,32544570
9,dataImg,71.228,125.184,63,196,15.448,16.138,6.621,10.759,8916.582,1874751,35.956,115.518,26,179,39.586,48.689,6.207,5.793,4153.615,873316,1150.601,134.259,47,416,5.931,6.345,33.862,84.137,154478.406,32479770
10,dataImg,71.228,125.467,52,197,15.448,16.138,6.621,10.759,8936.786,1878999,35.956,114.400,56,179,39.586,48.689,6.207,5.793,4113.430,864867,1150.601,134.418,50,419,5.931,6.345,33.862,84.137,154661.672,32518304
11,dataImg,71.228,126.411,64,206,15.448,16.138,6.621,10.759,9003.990,1893129,35.956,114.181,50,185,39.586,48.689,6.207,5.793,4105.525,863205,1150.601,133.633,46,425,5.931,6.345,33.862,84.137,153758.281,32328364
12,dataImg,71.228,127.932,61,202,15.448,16.138,6.621,10.759,9112.373,1915917,35.956,114.216,51,183,39.586,48.689,6.207,5.793,4106.800,863473,1150.601,134.272,47,477,5.931,6.345,33.862,84.137,154493.609,32482968
13,dataImg,71.228,128.477,64,202,15.448,16.138,6.621,10.759,9151.193,1924079,35.956,115.103,50,184,39.586,48.689,6.207,5.793,4138.695,870179,1150.601,133.863,43,476,5.931,6.345,33.862,84.137,154022.625,32383942
