 ,Label,Area1,Mean1,Min1,Max1,BX1,BY1,Width1,Height1,IntDen1,RawIntDen1,Area2,Mean2,Min2,Max2,BX2,BY2,Width2,Height2,IntDen2,RawIntDen2,Area3,Mean3,Min3,Max3,BX3,BY3,Width3,Height3,IntDen3,RawIntDen3
1,dataImg,71.228,215.047,104,375,27.310,25.931,6.621,10.759,15317.364,3220544,100.745,109.838,43,174,8.827,55.861,12.276,8.207,11065.606,2326593,1357.650,199.731,49,892,0,0,57.241,48.275,271165.250,57013700
2,dataImg,71.228,214.625,93,425,27.310,25.931,6.621,10.759,15287.330,3214229,100.745,109.962,25,176,8.827,55.861,12.276,8.207,11078.105,2329221,1357.650,199.825,53,920,0,0,57.241,48.275,271292.812,57040520
3,dataImg,71.228,213.515,106,387,27.310,25.931,6.621,10.759,15208.226,3197597,100.745,110.402,38,179,8.827,55.861,12.276,8.207,11122.386,2338531,1357.650,199.812,52,906,0,0,57.241,48.275,271274.156,57036600
4,dataImg,71.228,214.613,97,428,27.310,25.931,6.621,10.759,15286.454,3214045,100.745,109.986,36,170,8.827,55.861,12.276,8.207,11080.546,2329734,1357.650,199.932,45,909,0,0,57.241,48.275,271437.250,57070888
5,dataImg,71.228,215.138,105,370,27.310,25.931,6.621,10.759,15323.833,3221904,100.745,109.765,52,183,8.827,55.861,12.276,8.207,11058.229,2325042,1357.650,199.389,51,895,0,0,57.241,48.275,270701.031,56916092
6,dataImg,71.228,215.099,107,370,27.310,25.931,6.621,10.759,15321.084,3221326,100.745,110.388,43,182,8.827,55.861,12.276,8.207,11120.968,2338233,1357.650,199.801,56,942,0,0,57.241,48.275,271260.281,57033680
7,dataImg,71.228,216.383,103,370,27.310,25.931,6.621,10.759,15412.507,3240548,100.745,110.122,27,186,8.827,55.861,12.276,8.207,11094.215,2332608,1357.650,199.676,46,867,0,0,57.241,48.275,271089.938,56997868
8,dataImg,71.228,215.140,110,383,27.310,25.931,6.621,10.759,15324.014,3221942,100.745,109.900,37,174,8.827,55.861,12.276,8.207,11071.875,2327911,1357.650,199.614,56,947,0,0,57.241,48.275,271005.844,56980184
9,dataImg,71.228,216.226,111,364,27.310,25.931,6.621,10.759,15401.354,3238203,100.745,110.747,44,198,8.827,55.861,12.276,8.207,11157.177,2345846,1357.650,200.138,37,946,0,0,57.241,48.275,271717.625,57129836
10,dataImg,71.228,215.678,103,394,27.310,25.931,6.621,10.759,15362.281,3229988,100.745,110.447,45,175,8.827,55.861,12.276,8.207,11126.895,2339479,1357.650,200.046,47,923,0,0,57.241,48.275,271592.500,57103532
11,dataImg,71.228,216.525,108,406,27.310,25.931,6.621,10.759,15422.613,3242673,100.745,110.625,46,183,8.827,55.861,12.276,8.207,11144.830,2343250,1357.650,199.949,40,900,0,0,57.241,48.275,271460.719,57075824
12,dataImg,71.228,216.362,93,384,27.310,25.931,6.621,10.759,15411.056,3240243,100.745,110.172,46,184,8.827,55.861,12.276,8.207,11099.247,2333666,1357.650,199.750,47,882,0,0,57.241,48.275,271190.531,57019016
13,dataImg,71.228,215.912,106,424,27.310,25.931,6.621,10.759,15378.980,3233499,100.745,110.235,42,177,8.827,55.861,12.276,8.207,11105.587,2334999,1357.650,199.733,47,915,0,0,57.241,48.275,271167.125,57014096
14,dataImg,71.228,216.268,108,394,27.310,25.931,6.621,10.759,15404.321,3238827,100.745,110.202,48,172,8.827,55.861,12.276,8.207,11102.296,2334307,1357.650,200.084,47,896,0,0,57.241,48.275,271643.531,57114260
15,dataImg,71.228,215.342,101,374,27.310,25.931,6.621,10.759,15338.354,3224957,100.745,110.215,35,184,8.827,55.861,12.276,8.207,11103.585,2334578,1357.650,199.695,49,895,0,0,57.241,48.275,271116.312,57003412
16,dataImg,71.228,216.361,109,361,27.310,25.931,6.621,10.759,15410.975,3240226,100.745,110.326,41,177,8.827,55.861,12.276,8.207,11114.762,2336928,1357.650,199.837,48,886,0,0,57.241,48.275,271308.938,57043912
17,dataImg,71.228,215.815,86,396,27.310,25.931,6.621,10.759,15372.094,3232051,100.745,109.715,47,172,8.827,55.861,12.276,8.207,11053.212,2323987,1357.650,199.575,52,869,0,0,57.241,48.275,270952.906,56969052
18,dataImg,71.228,215.999,75,374,27.310,25.931,6.621,10.759,15385.163,3234799,100.745,110.436,32,174,8.827,55.861,12.276,8.207,11125.791,2339247,1357.650,199.721,53,886,0,0,57.241,48.275,271150.812,57010664
19,dataImg,71.228,215.415,102,390,27.310,25.931,6.621,10.759,15343.576,3226055,100.745,110.806,49,176,8.827,55.861,12.276,8.207,11163.069,2347085,1357.650,199.679,52,928,0,0,57.241,48.275,271093.969,56998712
20,dataImg,71.228,215.664,91,389,27.310,25.931,6.621,10.759,15361.345,3229791,100.745,110.123,50,175,8.827,55.861,12.276,8.207,11094.301,2332626,1357.650,199.934,52,918,0,0,57.241,48.275,271440.188,57071504
21,dataImg,71.228,215.790,100,406,27.310,25.931,6.621,10.759,15370.281,3231670,100.745,109.965,43,173,8.827,55.861,12.276,8.207,11078.334,2329269,1357.650,199.664,54,812,0,0,57.241,48.275,271073.625,56994436
22,dataImg,71.228,216.171,103,377,27.310,25.931,6.621,10.759,15397.410,3237374,100.745,110.760,37,175,8.827,55.861,12.276,8.207,11158.479,2346120,1357.650,199.905,56,818,0,0,57.241,48.275,271400.781,57063224
23,dataImg,71.228,216.045,100,383,27.310,25.931,6.621,10.759,15388.464,3235493,100.745,110.398,43,180,8.827,55.861,12.276,8.207,11122.015,2338453,1357.650,199.521,43,872,0,0,57.241,48.275,270880.156,56953756
24,dataImg,71.228,214.879,99,376,27.310,25.931,6.621,10.759,15305.422,3218033,100.745,110.166,41,174,8.827,55.861,12.276,8.207,11098.586,2333527,1357.650,199.753,54,887,0,0,57.241,48.275,271194.344,57019816
25,dataImg,71.228,216.322,112,391,27.310,25.931,6.621,10.759,15408.174,3239637,100.745,109.909,26,179,8.827,55.861,12.276,8.207,11072.774,2328100,1357.650,199.696,41,866,0,0,57.241,48.275,271117.875,57003740
26,dataImg,71.228,214.901,96,359,27.310,25.931,6.621,10.759,15306.978,3218360,100.745,110.592,48,170,8.827,55.861,12.276,8.207,11141.591,2342569,1357.650,199.670,46,959,0,0,57.241,48.275,271081.969,56996188
27,dataImg,71.228,216.190,108,372,27.310,25.931,6.621,10.759,15398.804,3237667,100.745,110.057,38,175,8.827,55.861,12.276,8.207,11087.646,2331227,1357.650,199.392,48,927,0,0,57.241,48.275,270705.031,56916936
