 ,Label,Area1,Mean1,Min1,Max1,BX1,BY1,Width1,Height1,IntDen1,RawIntDen1,Area2,Mean2,Min2,Max2,BX2,BY2,Width2,Height2,IntDen2,RawIntDen2,Area3,Mean3,Min3,Max3,BX3,BY3,Width3,Height3,IntDen3,RawIntDen3
1,dataImg,71.228,152.800,74,424,19.310,13.103,6.621,10.759,10883.646,2288335,30.449,118.826,56,185,30.207,23.724,4.552,6.690,3618.111,760724,884.533,146.992,50,785,0,0,36.551,69.654,130019.023,27337076
2,dataImg,71.228,153.259,76,387,19.310,13.103,6.621,10.759,10916.316,2295204,30.449,118.776,55,181,30.207,23.724,4.552,6.690,3616.585,760403,884.533,147.384,48,733,0,0,36.551,69.654,130366.117,27410056
3,dataImg,71.228,153.712,65,433,19.310,13.103,6.621,10.759,10948.572,2301986,30.449,119.413,62,184,30.207,23.724,4.552,6.690,3635.990,764483,884.533,147.473,50,714,0,0,36.551,69.654,130444.328,27426500
4,dataImg,71.228,154.278,60,418,19.310,13.103,6.621,10.759,10988.876,2310460,30.449,117.933,53,182,30.207,23.724,4.552,6.690,3590.911,755005,884.533,147.587,52,792,0,0,36.551,69.654,130545.305,27447730
5,dataImg,71.228,154.878,53,397,19.310,13.103,6.621,10.759,11031.677,2319459,30.449,118.834,59,178,30.207,23.724,4.552,6.690,3618.354,760775,884.533,148.170,49,838,0,0,36.551,69.654,131061.641,27556292
6,dataImg,71.228,154.612,83,411,19.310,13.103,6.621,10.759,11012.704,2315470,30.449,119.289,46,197,30.207,23.724,4.552,6.690,3632.208,763688,884.533,147.957,48,947,0,0,36.551,69.654,130873.156,27516664
7,dataImg,71.228,122.246,48,287,19.310,13.103,6.621,10.759,8707.345,1830758,30.449,118.378,52,173,30.207,23.724,4.552,6.690,3604.471,757856,884.533,145.422,44,1049,0,0,36.551,69.654,128630.656,27045168
8,dataImg,71.228,122.504,56,301,19.310,13.103,6.621,10.759,8725.709,1834619,30.449,119.181,59,186,30.207,23.724,4.552,6.690,3628.913,762995,884.533,143.823,53,972,0,0,36.551,69.654,127216.109,26747752
9,dataImg,71.228,124.394,44,223,19.310,13.103,6.621,10.759,8860.326,1862923,30.449,118.775,56,179,30.207,23.724,4.552,6.690,3616.566,760399,884.533,143.763,44,881,0,0,36.551,69.654,127162.773,26736540
10,dataImg,71.228,124.954,51,320,19.310,13.103,6.621,10.759,8900.221,1871311,30.449,117.868,52,176,30.207,23.724,4.552,6.690,3588.956,754594,884.533,143.329,46,946,0,0,36.551,69.654,126779.211,26655892
11,dataImg,71.228,126.644,67,336,19.310,13.103,6.621,10.759,9020.594,1896620,30.449,117.843,56,180,30.207,23.724,4.552,6.690,3588.171,754429,884.533,143.672,42,863,0,0,36.551,69.654,127082.266,26719612
12,dataImg,71.228,126.582,57,430,19.310,13.103,6.621,10.759,9016.189,1895694,30.449,118.732,56,187,30.207,23.724,4.552,6.690,3615.243,760121,884.533,143.349,46,790,0,0,36.551,69.654,126797.297,26659696
