 ,Label,Area1,Mean1,Min1,Max1,BX1,BY1,Width1,Height1,IntDen1,RawIntDen1,Area2,Mean2,Min2,Max2,BX2,BY2,Width2,Height2,IntDen2,RawIntDen2,Area3,Mean3,Min3,Max3,BX3,BY3,Width3,Height3,IntDen3,RawIntDen3
1,dataImg,71.228,337.948,193,495,36.000,36.551,6.621,10.759,24071.367,5061112,79.237,114.122,50,185,4.000,19.862,11.724,6.759,9042.700,1901268,2171.331,269.231,49,498,25.103,0,45.517,59.586,584589.500,122912544
2,dataImg,71.228,334.300,191,471,36.000,36.551,6.621,10.759,23811.545,5006483,79.237,114.686,54,180,4.000,19.862,11.724,6.759,9087.418,1910670,2171.331,267.957,45,487,25.103,0,45.517,59.586,581822.500,122330768
3,dataImg,71.228,335.229,192,466,36.000,36.551,6.621,10.759,23877.660,5020384,79.237,114.724,48,180,4.000,19.862,11.724,6.759,9090.438,1911305,2171.331,267.900,62,485,25.103,0,45.517,59.586,581699.375,122304880
4,dataImg,71.228,335.074,197,477,36.000,36.551,6.621,10.759,23866.615,5018062,79.237,113.978,35,186,4.000,19.862,11.724,6.759,9031.281,1898867,2171.331,267.956,56,494,25.103,0,45.517,59.586,581822.000,122330656
5,dataImg,71.228,335.538,184,479,36.000,36.551,6.621,10.759,23899.723,5025023,79.237,115.071,53,186,4.000,19.862,11.724,6.759,9117.891,1917077,2171.331,267.793,47,485,25.103,0,45.517,59.586,581466.500,122255920
6,dataImg,71.228,334.923,176,474,36.000,36.551,6.621,10.759,23855.920,5015813,79.237,114.127,50,187,4.000,19.862,11.724,6.759,9043.096,1901351,2171.331,268.291,58,518,25.103,0,45.517,59.586,582549.562,122483640
7,dataImg,71.228,334.260,196,488,36.000,36.551,6.621,10.759,23808.691,5005883,79.237,114.957,47,188,4.000,19.862,11.724,6.759,9108.896,1915186,2171.331,267.906,57,504,25.103,0,45.517,59.586,581712.812,122307696
8,dataImg,71.228,334.508,188,477,36.000,36.551,6.621,10.759,23826.303,5009586,79.237,115.087,55,181,4.000,19.862,11.724,6.759,9119.203,1917353,2171.331,268.016,57,488,25.103,0,45.517,59.586,581951.625,122357920
9,dataImg,71.228,335.028,186,467,36.000,36.551,6.621,10.759,23863.371,5017380,79.237,114.304,54,183,4.000,19.862,11.724,6.759,9057.146,1904305,2171.331,268.077,55,496,25.103,0,45.517,59.586,582083.625,122385672
10,dataImg,71.228,335.450,178,473,36.000,36.551,6.621,10.759,23893.455,5023705,79.237,114.631,44,188,4.000,19.862,11.724,6.759,9083.042,1909750,2171.331,268.274,40,494,25.103,0,45.517,59.586,582512.438,122475824
11,dataImg,71.228,335.771,191,476,36.000,36.551,6.621,10.759,23916.270,5028502,79.237,115.268,54,179,4.000,19.862,11.724,6.759,9133.495,1920358,2171.331,268.360,57,492,25.103,0,45.517,59.586,582698.250,122514896
12,dataImg,71.228,335.400,185,481,36.000,36.551,6.621,10.759,23889.896,5022957,79.237,114.120,52,189,4.000,19.862,11.724,6.759,9042.558,1901238,2171.331,268.200,52,496,25.103,0,45.517,59.586,582350.438,122441760
13,dataImg,71.228,333.659,181,464,36.000,36.551,6.621,10.759,23765.842,4996874,79.237,114.362,49,182,4.000,19.862,11.724,6.759,9061.734,1905270,2171.331,267.987,50,492,25.103,0,45.517,59.586,581888.938,122344736
14,dataImg,71.228,336.118,184,480,36.000,36.551,6.621,10.759,23941.025,5033707,79.237,114.574,46,192,4.000,19.862,11.724,6.759,9078.553,1908806,2171.331,268.069,39,484,25.103,0,45.517,59.586,582065.500,122381856
15,dataImg,71.228,335.899,202,474,36.000,36.551,6.621,10.759,23925.426,5030427,79.237,114.826,48,179,4.000,19.862,11.724,6.759,9098.480,1912996,2171.331,268.141,62,494,25.103,0,45.517,59.586,582223.438,122415064
16,dataImg,71.228,335.948,197,481,36.000,36.551,6.621,10.759,23928.889,5031155,79.237,115.088,53,189,4.000,19.862,11.724,6.759,9119.241,1917361,2171.331,268.334,39,503,25.103,0,45.517,59.586,582642.312,122503136
17,dataImg,71.228,336.387,174,481,36.000,36.551,6.621,10.759,23960.197,5037738,79.237,114.781,56,203,4.000,19.862,11.724,6.759,9094.918,1912247,2171.331,268.345,57,507,25.103,0,45.517,59.586,582666.625,122508240
18,dataImg,71.228,334.558,191,487,36.000,36.551,6.621,10.759,23829.918,5010346,79.237,114.259,43,185,4.000,19.862,11.724,6.759,9053.550,1903549,2171.331,268.175,56,495,25.103,0,45.517,59.586,582296.625,122430456
19,dataImg,71.228,334.982,174,471,36.000,36.551,6.621,10.759,23860.109,5016694,79.237,114.383,51,177,4.000,19.862,11.724,6.759,9063.366,1905613,2171.331,267.906,47,509,25.103,0,45.517,59.586,581713.062,122307760
20,dataImg,71.228,336.383,178,487,36.000,36.551,6.621,10.759,23959.893,5037674,79.237,115.152,48,192,4.000,19.862,11.724,6.759,9124.358,1918437,2171.331,268.069,51,513,25.103,0,45.517,59.586,582066.312,122382032
21,dataImg,71.228,335.372,186,468,36.000,36.551,6.621,10.759,23887.875,5022532,79.237,114.544,57,186,4.000,19.862,11.724,6.759,9076.184,1908308,2171.331,268.069,57,498,25.103,0,45.517,59.586,582066.312,122382024
22,dataImg,71.228,335.135,200,483,36.000,36.551,6.621,10.759,23870.992,5018982,79.237,114.701,52,173,4.000,19.862,11.724,6.759,9088.621,1910923,2171.331,268.063,65,502,25.103,0,45.517,59.586,582053.312,122379296
23,dataImg,71.228,336.212,177,476,36.000,36.551,6.621,10.759,23947.717,5035114,79.237,113.841,39,177,4.000,19.862,11.724,6.759,9020.451,1896590,2171.331,268.853,35,523,25.103,0,45.517,59.586,583768.875,122740000
24,dataImg,71.228,334.500,182,480,36.000,36.551,6.621,10.759,23825.779,5009476,79.237,114.646,51,179,4.000,19.862,11.724,6.759,9084.241,1910002,2171.331,268.174,59,494,25.103,0,45.517,59.586,582295.562,122430232
25,dataImg,71.228,335.047,175,472,36.000,36.551,6.621,10.759,23864.732,5017666,79.237,114.948,47,182,4.000,19.862,11.724,6.759,9108.202,1915040,2171.331,268.163,38,506,25.103,0,45.517,59.586,582271.625,122425200
26,dataImg,71.228,335.118,188,476,36.000,36.551,6.621,10.759,23869.773,5018726,79.237,115.033,42,179,4.000,19.862,11.724,6.759,9114.923,1916453,2171.331,268.215,57,490,25.103,0,45.517,59.586,582383.125,122448632
27,dataImg,71.228,335.964,195,487,36.000,36.551,6.621,10.759,23930.053,5031400,79.237,114.752,48,180,4.000,19.862,11.724,6.759,9092.645,1911769,2171.331,268.471,59,497,25.103,0,45.517,59.586,582939.188,122565560
28,dataImg,71.228,335.681,162,477,36.000,36.551,6.621,10.759,23909.893,5027161,79.237,114.841,40,180,4.000,19.862,11.724,6.759,9099.680,1913248,2171.331,268.100,60,519,25.103,0,45.517,59.586,582132.812,122396016
29,dataImg,71.228,334.731,177,463,36.000,36.551,6.621,10.759,23842.203,5012929,79.237,115.118,48,191,4.000,19.862,11.724,6.759,9121.647,1917867,2171.331,268.079,55,492,25.103,0,45.517,59.586,582089.000,122386800
30,dataImg,71.228,334.770,178,467,36.000,36.551,6.621,10.759,23844.965,5013510,79.237,113.885,45,179,4.000,19.862,11.724,6.759,9023.976,1897331,2171.331,268.051,55,494,25.103,0,45.517,59.586,582027.812,122373936
31,dataImg,71.228,182.160,86,297,36.000,36.551,6.621,10.759,12974.907,2728032,79.237,114.787,54,182,4.000,19.862,11.724,6.759,9095.385,1912345,2171.331,263.476,54,516,25.103,0,45.517,59.586,572094.000,120285312
32,dataImg,71.228,199.365,90,305,36.000,36.551,6.621,10.759,14200.395,2985696,79.237,115.874,51,181,4.000,19.862,11.724,6.759,9181.509,1930453,2171.331,260.807,53,509,25.103,0,45.517,59.586,566298.812,119066840
33,dataImg,71.228,213.320,107,329,36.000,36.551,6.621,10.759,15194.343,3194678,79.237,114.272,51,183,4.000,19.862,11.724,6.759,9054.629,1903776,2171.331,259.870,51,509,25.103,0,45.517,59.586,564263.125,118638832
34,dataImg,71.228,223.157,110,334,36.000,36.551,6.621,10.759,15895.026,3342000,79.237,115.011,49,187,4.000,19.862,11.724,6.759,9113.201,1916091,2171.331,258.637,50,502,25.103,0,45.517,59.586,561586.500,118076056
35,dataImg,71.228,229.476,125,350,36.000,36.551,6.621,10.759,16345.114,3436633,79.237,114.609,43,179,4.000,19.862,11.724,6.759,9081.302,1909384,2171.331,257.113,49,498,25.103,0,45.517,59.586,558276.562,117380136
36,dataImg,71.228,235.976,130,370,36.000,36.551,6.621,10.759,16808.125,3533983,79.237,114.852,43,179,4.000,19.862,11.724,6.759,9100.525,1913426,2171.331,256.870,48,501,25.103,0,45.517,59.586,557749.250,117269256
37,dataImg,71.228,241.477,113,353,36.000,36.551,6.621,10.759,17199.889,3616353,79.237,114.796,45,189,4.000,19.862,11.724,6.759,9096.117,1912499,2171.331,255.852,51,489,25.103,0,45.517,59.586,555539.875,116804720
38,dataImg,71.228,246.620,135,366,36.000,36.551,6.621,10.759,17566.240,3693380,79.237,114.784,47,179,4.000,19.862,11.724,6.759,9095.151,1912296,2171.331,255.098,42,484,25.103,0,45.517,59.586,553902.438,116460448
39,dataImg,71.228,249.625,144,366,36.000,36.551,6.621,10.759,17780.295,3738386,79.237,114.639,48,178,4.000,19.862,11.724,6.759,9083.680,1909884,2171.331,254.425,50,482,25.103,0,45.517,59.586,552441.000,116153184
40,dataImg,71.228,252.637,133,374,36.000,36.551,6.621,10.759,17994.844,3783496,79.237,114.178,48,200,4.000,19.862,11.724,6.759,9047.147,1902203,2171.331,253.717,66,482,25.103,0,45.517,59.586,550903.438,115829896
41,dataImg,71.228,256.493,147,364,36.000,36.551,6.621,10.759,18269.506,3841245,79.237,114.054,38,186,4.000,19.862,11.724,6.759,9037.341,1900141,2171.331,253.953,60,478,25.103,0,45.517,59.586,551415.625,115937584
42,dataImg,71.228,259.209,145,381,36.000,36.551,6.621,10.759,18462.959,3881919,79.237,114.334,47,182,4.000,19.862,11.724,6.759,9059.523,1904805,2171.331,253.737,56,494,25.103,0,45.517,59.586,550946.500,115838944
43,dataImg,71.228,262.393,127,371,36.000,36.551,6.621,10.759,18689.713,3929595,79.237,113.414,41,177,4.000,19.862,11.724,6.759,8986.583,1889469,2171.331,253.531,54,499,25.103,0,45.517,59.586,550500.000,115745072
44,dataImg,71.228,263.520,142,382,36.000,36.551,6.621,10.759,18770.006,3946477,79.237,114.681,37,184,4.000,19.862,11.724,6.759,9086.985,1910579,2171.331,253.267,54,482,25.103,0,45.517,59.586,549927.438,115624696
45,dataImg,71.228,265.478,150,381,36.000,36.551,6.621,10.759,18909.475,3975801,79.237,114.895,52,180,4.000,19.862,11.724,6.759,9103.936,1914143,2171.331,253.395,64,486,25.103,0,45.517,59.586,550204.938,115683024
46,dataImg,71.228,268.266,142,392,36.000,36.551,6.621,10.759,19108.043,4017551,79.237,114.226,47,182,4.000,19.862,11.724,6.759,9050.957,1903004,2171.331,253.288,60,490,25.103,0,45.517,59.586,549971.312,115633904
47,dataImg,71.228,270.471,138,381,36.000,36.551,6.621,10.759,19265.129,4050579,79.237,114.521,46,190,4.000,19.862,11.724,6.759,9074.319,1907916,2171.331,253.270,60,490,25.103,0,45.517,59.586,549932.125,115625672
48,dataImg,71.228,272.934,145,410,36.000,36.551,6.621,10.759,19440.525,4087457,79.237,115.072,57,186,4.000,19.862,11.724,6.759,9118.000,1917100,2171.331,253.136,64,476,25.103,0,45.517,59.586,549642.875,115564864
49,dataImg,71.228,273.280,155,394,36.000,36.551,6.621,10.759,19465.188,4092642,79.237,114.382,45,174,4.000,19.862,11.724,6.759,9063.313,1905602,2171.331,253.147,50,470,25.103,0,45.517,59.586,549666.000,115569712
50,dataImg,71.228,274.560,132,395,36.000,36.551,6.621,10.759,19556.338,4111807,79.237,114.376,47,194,4.000,19.862,11.724,6.759,9062.866,1905508,2171.331,252.557,56,476,25.103,0,45.517,59.586,548385.688,115300528
51,dataImg,71.228,276.516,149,401,36.000,36.551,6.621,10.759,19695.650,4141098,79.237,114.564,49,180,4.000,19.862,11.724,6.759,9077.739,1908635,2171.331,253.087,61,492,25.103,0,45.517,59.586,549536.312,115542448
52,dataImg,71.228,277.417,150,407,36.000,36.551,6.621,10.759,19759.863,4154599,79.237,113.886,45,185,4.000,19.862,11.724,6.759,9024.033,1897343,2171.331,253.125,58,469,25.103,0,45.517,59.586,549617.375,115559504
53,dataImg,71.228,279.989,143,398,36.000,36.551,6.621,10.759,19943.061,4193117,79.237,114.841,46,195,4.000,19.862,11.724,6.759,9099.660,1913244,2171.331,253.350,56,475,25.103,0,45.517,59.586,550106.125,115662256
54,dataImg,71.228,278.240,139,400,36.000,36.551,6.621,10.759,19818.453,4166918,79.237,114.357,42,188,4.000,19.862,11.724,6.759,9061.350,1905189,2171.331,252.830,62,496,25.103,0,45.517,59.586,548977.000,115424848
55,dataImg,71.228,280.327,152,405,36.000,36.551,6.621,10.759,19967.111,4198174,79.237,115.323,49,177,4.000,19.862,11.724,6.759,9137.914,1921287,2171.331,252.882,50,479,25.103,0,45.517,59.586,549091.250,115448880
56,dataImg,71.228,282.334,141,400,36.000,36.551,6.621,10.759,20110.049,4228227,79.237,114.292,51,178,4.000,19.862,11.724,6.759,9056.170,1904100,2171.331,252.775,58,494,25.103,0,45.517,59.586,548858.625,115399968
57,dataImg,71.228,281.511,150,403,36.000,36.551,6.621,10.759,20051.467,4215910,79.237,115.170,44,184,4.000,19.862,11.724,6.759,9125.762,1918732,2171.331,252.711,48,491,25.103,0,45.517,59.586,548719.750,115370768
58,dataImg,71.228,283.680,157,431,36.000,36.551,6.621,10.759,20205.922,4248385,79.237,114.296,51,189,4.000,19.862,11.724,6.759,9056.475,1904164,2171.331,253.029,52,480,25.103,0,45.517,59.586,549409.250,115515736
59,dataImg,71.228,284.245,166,419,36.000,36.551,6.621,10.759,20246.227,4256859,79.237,114.743,48,178,4.000,19.862,11.724,6.759,9091.922,1911617,2171.331,253.271,53,470,25.103,0,45.517,59.586,549934.312,115626136
60,dataImg,71.228,285.122,169,399,36.000,36.551,6.621,10.759,20308.631,4269980,79.237,115.238,43,180,4.000,19.862,11.724,6.759,9131.117,1919858,2171.331,252.896,55,483,25.103,0,45.517,59.586,549121.188,115455168
61,dataImg,71.228,285.952,150,400,36.000,36.551,6.621,10.759,20367.812,4282423,79.237,114.262,46,182,4.000,19.862,11.724,6.759,9053.830,1903608,2171.331,252.707,56,479,25.103,0,45.517,59.586,548710.938,115368912
62,dataImg,71.228,287.247,160,426,36.000,36.551,6.621,10.759,20460.033,4301813,79.237,114.516,47,178,4.000,19.862,11.724,6.759,9073.910,1907830,2171.331,253.154,60,492,25.103,0,45.517,59.586,549680.500,115572768
63,dataImg,71.228,287.364,139,407,36.000,36.551,6.621,10.759,20468.357,4303563,79.237,114.864,48,187,4.000,19.862,11.724,6.759,9101.520,1913635,2171.331,253.071,54,495,25.103,0,45.517,59.586,549501.500,115535136
64,dataImg,71.228,287.684,159,404,36.000,36.551,6.621,10.759,20491.182,4308362,79.237,114.213,52,177,4.000,19.862,11.724,6.759,9049.930,1902788,2171.331,252.806,51,514,25.103,0,45.517,59.586,548924.562,115413824
65,dataImg,71.228,289.410,162,411,36.000,36.551,6.621,10.759,20614.104,4334207,79.237,115.283,51,183,4.000,19.862,11.724,6.759,9134.718,1920615,2171.331,253.118,58,478,25.103,0,45.517,59.586,549603.250,115556520
66,dataImg,71.228,289.651,139,409,36.000,36.551,6.621,10.759,20631.230,4337808,79.237,114.109,47,181,4.000,19.862,11.724,6.759,9041.669,1901051,2171.331,253.010,47,479,25.103,0,45.517,59.586,549369.500,115507384
67,dataImg,71.228,288.690,163,407,36.000,36.551,6.621,10.759,20562.781,4323416,79.237,114.378,51,181,4.000,19.862,11.724,6.759,9063.033,1905543,2171.331,253.053,56,479,25.103,0,45.517,59.586,549460.750,115526568
68,dataImg,71.228,290.845,159,419,36.000,36.551,6.621,10.759,20716.338,4355702,79.237,115.331,36,182,4.000,19.862,11.724,6.759,9138.547,1921420,2171.331,253.708,57,482,25.103,0,45.517,59.586,550884.312,115825872
69,dataImg,71.228,290.953,167,414,36.000,36.551,6.621,10.759,20723.977,4357308,79.237,114.352,51,181,4.000,19.862,11.724,6.759,9060.907,1905096,2171.331,253.128,54,490,25.103,0,45.517,59.586,549624.500,115560992
70,dataImg,71.228,290.700,157,409,36.000,36.551,6.621,10.759,20705.982,4353525,79.237,115.060,41,194,4.000,19.862,11.724,6.759,9117.011,1916892,2171.331,253.154,52,486,25.103,0,45.517,59.586,549681.625,115573008
71,dataImg,71.228,291.393,165,434,36.000,36.551,6.621,10.759,20755.371,4363909,79.237,115.582,36,184,4.000,19.862,11.724,6.759,9158.437,1925602,2171.331,253.050,47,475,25.103,0,45.517,59.586,549454.375,115525224
72,dataImg,71.228,293.396,155,416,36.000,36.551,6.621,10.759,20898.018,4393901,79.237,115.148,53,181,4.000,19.862,11.724,6.759,9124.060,1918374,2171.331,253.200,61,491,25.103,0,45.517,59.586,549781.250,115593952
73,dataImg,71.228,292.641,171,421,36.000,36.551,6.621,10.759,20844.197,4382585,79.237,115.012,48,191,4.000,19.862,11.724,6.759,9113.234,1916098,2171.331,253.214,60,480,25.103,0,45.517,59.586,549810.625,115600128
74,dataImg,71.228,292.833,168,414,36.000,36.551,6.621,10.759,20857.881,4385462,79.237,114.383,53,184,4.000,19.862,11.724,6.759,9063.380,1905616,2171.331,253.415,54,476,25.103,0,45.517,59.586,550247.312,115691936
75,dataImg,71.228,294.001,169,416,36.000,36.551,6.621,10.759,20941.127,4402965,79.237,114.780,42,189,4.000,19.862,11.724,6.759,9094.833,1912229,2171.331,253.459,56,482,25.103,0,45.517,59.586,550342.562,115711968
76,dataImg,71.228,293.951,165,448,36.000,36.551,6.621,10.759,20937.541,4402211,79.237,115.091,47,182,4.000,19.862,11.724,6.759,9119.526,1917421,2171.331,253.469,59,474,25.103,0,45.517,59.586,550364.188,115716512
77,dataImg,71.228,294.622,173,442,36.000,36.551,6.621,10.759,20985.363,4412266,79.237,114.098,51,192,4.000,19.862,11.724,6.759,9040.827,1900874,2171.331,253.750,61,481,25.103,0,45.517,59.586,550976.188,115845200
78,dataImg,71.228,294.233,162,408,36.000,36.551,6.621,10.759,20957.607,4406430,79.237,114.340,44,178,4.000,19.862,11.724,6.759,9059.961,1904897,2171.331,253.846,55,473,25.103,0,45.517,59.586,551182.875,115888640
79,dataImg,71.228,294.732,166,434,36.000,36.551,6.621,10.759,20993.150,4413903,79.237,114.791,49,183,4.000,19.862,11.724,6.759,9095.736,1912419,2171.331,253.364,50,479,25.103,0,45.517,59.586,550137.188,115668792
80,dataImg,71.228,295.302,165,423,36.000,36.551,6.621,10.759,21033.801,4422450,79.237,114.322,35,178,4.000,19.862,11.724,6.759,9058.558,1904602,2171.331,252.932,53,471,25.103,0,45.517,59.586,549199.188,115471576
81,dataImg,71.228,295.882,165,425,36.000,36.551,6.621,10.759,21075.084,4431130,79.237,114.816,49,196,4.000,19.862,11.724,6.759,9097.687,1912829,2171.331,253.370,56,470,25.103,0,45.517,59.586,550150.250,115671536
82,dataImg,71.228,296.283,163,421,36.000,36.551,6.621,10.759,21103.668,4437140,79.237,114.097,51,191,4.000,19.862,11.724,6.759,9040.751,1900858,2171.331,253.412,57,474,25.103,0,45.517,59.586,550240.875,115690592
83,dataImg,71.228,296.704,173,423,36.000,36.551,6.621,10.759,21133.631,4443440,79.237,113.906,53,193,4.000,19.862,11.724,6.759,9025.588,1897670,2171.331,253.714,49,471,25.103,0,45.517,59.586,550897.312,115828616
84,dataImg,71.228,296.517,156,425,36.000,36.551,6.621,10.759,21120.334,4440644,79.237,114.528,53,179,4.000,19.862,11.724,6.759,9074.861,1908030,2171.331,253.524,46,474,25.103,0,45.517,59.586,550485.562,115742040
85,dataImg,71.228,297.741,156,438,36.000,36.551,6.621,10.759,21207.500,4458971,79.237,114.983,46,189,4.000,19.862,11.724,6.759,9110.913,1915610,2171.331,253.863,54,473,25.103,0,45.517,59.586,551220.625,115896592
86,dataImg,71.228,297.038,157,418,36.000,36.551,6.621,10.759,21157.436,4448445,79.237,114.326,48,180,4.000,19.862,11.724,6.759,9058.896,1904673,2171.331,253.681,58,486,25.103,0,45.517,59.586,550824.500,115813296
87,dataImg,71.228,298.396,174,429,36.000,36.551,6.621,10.759,21254.129,4468775,79.237,114.146,47,179,4.000,19.862,11.724,6.759,9044.589,1901665,2171.331,253.348,45,474,25.103,0,45.517,59.586,550101.500,115661280
88,dataImg,71.228,298.984,133,431,36.000,36.551,6.621,10.759,21296.039,4477587,79.237,113.588,45,184,4.000,19.862,11.724,6.759,9000.438,1892382,2171.331,253.889,56,476,25.103,0,45.517,59.586,551277.562,115908560
89,dataImg,71.228,298.340,156,452,36.000,36.551,6.621,10.759,21250.143,4467937,79.237,114.696,45,185,4.000,19.862,11.724,6.759,9088.212,1910837,2171.331,253.459,42,477,25.103,0,45.517,59.586,550342.438,115711952
