 ,Label,Area1,Mean1,Min1,Max1,BX1,BY1,Width1,Height1,IntDen1,RawIntDen1,Area2,Mean2,Min2,Max2,BX2,BY2,Width2,Height2,IntDen2,RawIntDen2,Area3,Mean3,Min3,Max3,BX3,BY3,Width3,Height3,IntDen3,RawIntDen3
1,dataImg,71.228,214.536,101,335,36.000,36.551,6.621,10.759,15280.956,3212889,216.880,109.851,40,184,18.276,68.827,20.689,10.483,23824.514,5009210,1671.346,200.320,46,366,0,0,64.965,64.827,334804.750,70394192
2,dataImg,71.228,215.467,100,320,36.000,36.551,6.621,10.759,15347.300,3226838,216.880,110.439,43,175,18.276,68.827,20.689,10.483,23951.912,5035996,1671.346,200.427,45,364,0,0,64.965,64.827,334983.000,70431664
3,dataImg,71.228,214.248,106,316,36.000,36.551,6.621,10.759,15260.457,3208579,216.880,110.889,39,183,18.276,68.827,20.689,10.483,24049.584,5056532,1671.346,199.940,45,358,0,0,64.965,64.827,334168.594,70260432
4,dataImg,71.228,214.352,99,328,36.000,36.551,6.621,10.759,15267.834,3210130,216.880,109.909,37,183,18.276,68.827,20.689,10.483,23837.066,5011849,1671.346,199.886,46,364,0,0,64.965,64.827,334079.531,70241712
5,dataImg,71.228,214.512,109,320,36.000,36.551,6.621,10.759,15279.282,3212537,216.880,110.082,38,182,18.276,68.827,20.689,10.483,23874.559,5019732,1671.346,199.545,33,373,0,0,64.965,64.827,333508.438,70121632
6,dataImg,71.228,214.292,90,316,36.000,36.551,6.621,10.759,15263.592,3209238,216.880,109.925,36,181,18.276,68.827,20.689,10.483,23840.543,5012580,1671.346,199.673,32,404,0,0,64.965,64.827,333722.031,70166536
7,dataImg,71.228,214.908,111,323,36.000,36.551,6.621,10.759,15307.477,3218465,216.880,110.354,46,179,18.276,68.827,20.689,10.483,23933.635,5032153,1671.346,200.112,47,381,0,0,64.965,64.827,334456.219,70320912
8,dataImg,71.228,215.440,100,321,36.000,36.551,6.621,10.759,15345.369,3226432,216.880,109.972,43,185,18.276,68.827,20.689,10.483,23850.830,5014743,1671.346,200.051,48,380,0,0,64.965,64.827,334354.781,70299576
9,dataImg,71.228,213.964,102,312,36.000,36.551,6.621,10.759,15240.211,3204322,216.880,109.743,34,184,18.276,68.827,20.689,10.483,23801.162,5004300,1671.346,199.661,37,400,0,0,64.965,64.827,333702.031,70162336
10,dataImg,71.228,214.697,91,321,36.000,36.551,6.621,10.759,15292.433,3215302,216.880,110.008,32,176,18.276,68.827,20.689,10.483,23858.598,5016376,1671.346,199.981,44,360,0,0,64.965,64.827,334237.531,70274928
11,dataImg,71.228,214.857,93,331,36.000,36.551,6.621,10.759,15303.848,3217702,216.880,109.883,38,181,18.276,68.827,20.689,10.483,23831.396,5010657,1671.346,199.731,44,365,0,0,64.965,64.827,333819.312,70186992
12,dataImg,71.228,214.634,103,314,36.000,36.551,6.621,10.759,15287.957,3214361,216.880,110.464,43,177,18.276,68.827,20.689,10.483,23957.377,5037145,1671.346,199.951,40,396,0,0,64.965,64.827,334187.531,70264416
